Text,label
 Analyze the health economic implications of efficient perioperative practice. ,Analyze
 Apply research skills to operate effectively as a member of a research project team. ,Apply
 Assess and synthesise diverse information about information and knowledge management technologies market and how to use implementation strategies to maximise their strengths and minimise their weaknesses.  ,Evaluate
" Describe the general characteristics of the modern X-ray system used in clinical practice, including scientific principles, and production of the digital image. ",Understand
 Evaluate the different models of perioperative care that exist globally. ,Evaluate
 explain key terms and concepts used to engage with big data involving digital language and contribute to informed debates on digital language;,Understand
 Identify an issue of relevance to the practice of perioperative medicine capable of further investigation and research within the context of a capstone project. ,Analyze
" Identify the key features of the use of radiation, how it produces the image, and its safe use in diagnostic radiographic practice. ",Analyze
 Recognise the key role that human factors play in the leadership and development of a highly functional perioperative team. ,Remember
" Rigorously quantify the mixing of various classes of finite Markov chains, using a variety of techniques; ",Apply
 Understand the importance of defining and accurately measuring patient outcomes and the implication to best practice. ,Understand
"(For students of the Japanese language only:) utilize Japanese language skills in academic research and discussion of contemporary issues in Japan, as appropriate to proficiency level.",Apply
"1. demonstrate advanced understanding and application of financial management theory, challenges, methods, tools and frameworks",Apply
"1. demonstrate an understanding and application of methods, strategies, tactics, and tools for developing connection, communication and community",Apply
"1. Identifyroles and responsibilities of health professionals in the care of childbearing women, neonates, children &adolescents.",Analyze
"2. Outline key aspects of the assessment and care of the woman and baby during the antenatal, perinatal and postnatal periods.",Remember
"3. Describe a systematic approach to paediatric assessment that reflects changes in growth, development and anatomy and physiology differences.",Understand
"4.Analysea variety of communication skills to effectively engage and interact with children, their families and the multidisciplinary health care team",Analyze
"5.Discuss the impact of hospitalization on the child and family and identify strategies, including family centred care, to support families through the experience.",Understand
"6.Identify appropriate management, prevention and health promotion strategies for common childhood illness/injury.",Analyze
"A basic understanding of key features of modern Chinese history with reference to: East-West perspectives on Chinese Studies; May Fourth concepts of enlightenment, democracy, science and nationalism; the Cultural Revolution and the renewal of humanist values in post-Mao China",Understand
"A basic understanding of key issues in contemporary Chinese society and politics, focused on (i) the concepts of trust and justice; (ii) media reporting in and about present-day China; (iii) Chinese nationalism and patriotism; and (iv) public culture and debate in the Chinese-speaking world;",Understand
"a basic understanding of the main periods, styles, genres, intellectual preoccupations and socio-historical trends in German literature from the late eighteenth century to the early nineteenth century;",Understand
"a basic understanding of the main periods, styles, genres, intellectual preoccupations and socio-historical trends in modern German literature;",Understand
A broad appreciation of the psychological and socio-cultural mechanisms underpinning understandings of the self and interactions with others.,Understand
A capacity to describe and understand a variety of methods used to value the environment;,Understand
"A capacity to design, manage, and carry out a research project.",Create
"A capacity to work effectively as a member of a team through well-developed skills in job planning, time management, problem solving, critical thinking and the organisation of work;",Apply
"A clear understanding of how traumatic memory shapes the representation of violence and suffering from an international perspective, through fiction and non-fiction writing (including novels, memoirs and works of historiography); film and television; museums and memorials; and photography, painting, and other media.",Understand
A critical awareness of the issues surrounding contemporary forms and styles of environmental governance.,Understand
"A critical sense of the development of the broad field of travel and representation, with knowledge of the diversity of modes and discourses it encompasses",Understand
A critical understanding of cultural diversity in contemporary Australia.,Understand
A critical understanding of the functioning of the three elements of the criminal justice system and of the system as a whole;,Understand
A critical understanding of the place and function of sensible form in art theory;,Understand
A critical understanding of the role specific disasters and disasters in general have played in the development of global society;,Understand
A critical understanding of the various facets of crime and the crime problem particularly from an African perspective;,Understand
A critical understanding of the various interpretations that inform the historical and contemporary analysis of these phenomena;,Understand
A critical understanding of this fascinating society and its historiography,Understand
A deeper critical understanding of their own and other people's social identities,Understand
"A deeper knowledge of the concepts of modernity and tradition, and the problems of cultural ownership and authenticity, and an understanding of contemporary issues regarding copyright law;",Understand
a demonstrated ability to apply the methodology of materials and process selection for agiven engineering application,Apply
a demonstrated ability to apply the principles of microstructural design for mechanicalapplications,Apply
a demonstrated ability to communicate in both written and verbal form the physicalmetallurgy of different alloys classes.,Apply
A demonstrated ability to conduct comparative studies;,Apply
"A demonstrated ability to critically analyse and compare practical and policy responses to contemporary challenges of crime, justice and development in different jurisdictions;",Analyze
a detailed appreciation of the combinations of mechanical properties exhibited by engineering alloys and how these compare with other materials classes,Understand
A detailed understanding of a key issue or debate in the discipline.,Understand
A developed capacity to undertake original research on an area of their particular interest;,Apply
"A focus upon the production of scholarly research as the end point of a process of reading, discussion, drafting and debate.",Create
A full understanding of the complexities of provision of services with evidence of appreciation of the wider context in which the client operates and in which the service is provided.,Understand
"A general knowledge of the social, political and cultural development that has characterised post-Mao China, Chinese society, its people and its culture (through examination of the historical contexts of a number of literary texts published in China after the 1980s);",Remember
"A general knowledge of the social, political and cultural development that has characterised post-Mao China, Chinese society, its people and its culture (through examination of the historical contexts of a number of literary texts published in China after the 1980s)",Remember
A general theoretical awareness of the problematic of cross cultural readings;,Remember
"A good knowledge of major cultural, social and political changes in twentieth century China",Understand
A good knowledge of the academic literature relevant to studies of contemporary China;,Understand
A good understanding of the five developmental levels on which to assess developmental progress or delay,Understand
A grounded working knowledge of the major theoretical and methodological approaches on sex and the media;,Understand
A grounded working knowledge of the major theoretical and methodological approaches to men and masculinity,Understand
A grounded working knowledge of the major theoretical approaches that constitute the field of feminist approaches to crime and justice.,Understand
"A knowledge of events leading to the Holocaust, its course and aftermath",Remember
"A knowledge of the city of Florence itself - including its churches, palaces, museums, piazzas, monuments and streets - as an artefact of its complex history",Remember
"A knowledge of the main events, processes, issues, personalities, ideas and politics in the modern history of Africa ",Remember
A knowledge of the use of computers in automating and increasing the precision of manufacturing (CAM).,Remember
A practical understanding of the major themes and styles of writing in modern and contemporary Australian literatures;,Understand
A practical understanding of the uses of a range of commercial ADR processes.,Understand
A range of statistical techniques and when it is appropriate to use them.  Students are also required to demonstrate their ability to develop a research proposal.,Create
A solid foundation of knowledge about the Second World War in Asia and the Pacific,Remember
A sophisticated understanding of modernist aesthetics and themes;,Understand
A sound interpretation of their data and discuss their interpretation in a scientific manner.,Understand
A sound understanding of the requirements of working with others in a position of responsibility;,Understand
"A strong kinaesthetic approach to centering the body, and to centering the voice and breath in the body through practice and theoretical understanding*",Understand
A stronger understanding of the ethical challenges of disaster response;,Understand
A theoretical understanding of the histories and theories of actor training*,Understand
"A thorough knowledge of how contested representations and understandings of disaster have explored issues of responsibility, mitigation, vulnerability and social change;",Understand
"A thorough understanding of the utility of mathematical model simulations to aid in design and processing of materials (computer aided analysis, CAA)",Understand
Ability to analyse and reflect on international journalism professional practice;,Analyze
Ability to apply basic traffic flow theory to the analysis of unsignalised intersection capacity,Apply
Ability to apply the principles and practice of journalism that they have learnt in their undergraduate studies in an international context;,Apply
Ability to articulate critical interpretations of dramatic texts and processes in systematic written argument.,Evaluate
"Ability to communicate with researchers in data-related issues of design, conduct and analysis of studies.",Create
Ability to conduct impact assessments with reference to PTSD and traumagenics;,Apply
Ability to critically analyse proposed development project plans for possible environmental effects and identify mitigation measures.,Analyze
Ability to design timing plans for isolated traffic signals,Create
"Ability to design, undertake and analyse traffic surveys",Analyze
Ability to develop a formulation with the clientThemeslabel Specific CBT techniques,Create
Ability to devise a maintenance cycle and use this to this set targetsThemeslabel Basic CBT competences,Create
Ability to embody critical interpretations of performance theories and forms in practical work,Evaluate
Ability to engage in debates between various 'generations' of digital literature practitioners and critics;,Evaluate
Ability to explain and demonstrate rationale for CBT to clientThemeslabel Basic CBT competences,Apply
Ability to manage endingsThemeslabel Generic therapeutic competences,Apply
